year,State,District,PVI,,
2012,Texas,30th,D+29,,
2012,Texas,31st,R+10,,
2012,Texas,32nd,R+5,,
2012,Texas,33rd,D+23,,
2012,Texas,34th,D+10,,
2012,Texas,35th,D+15,,
2012,Texas,36th,R+26,,
2012,Utah,1st,R+26,,
2012,Utah,2nd,R+16,,
2012,Utah,3rd,R+25,,
2012,Utah,4th,R+13,,
2012,Vermont,0,D+15,,
2012,Virginia,1st,R+8,,
2012,Virginia,2nd,R+3,,
2012,Virginia,3rd,D+16,,
2012,Virginia,4th,D+10,,
2012,Virginia,5th,R+6,,
2012,Virginia,6th,R+13,,
2012,Virginia,7th,R+6,,
2012,Virginia,8th,D+21,,
2012,Virginia,9th,R+19,,
2012,Virginia,10th,D+1,,
2012,Virginia,11th,D+15,,
2012,Washington,1st,D+6,,
2012,Washington,2nd,D+10,,
2012,Washington,3rd,R+4,,
2012,Washington,4th,R+13,,
2012,Washington,5th,R+8,,
2012,Washington,6th,D+6,,
2012,Washington,7th,D+33,,
2012,Washington,8th,0,,
2012,Washington,9th,D+21,,
2012,Washington,10th,D+5,,
2012,West Virginia,1st,R+19,,
2012,West Virginia,2nd,R+17,,
2012,West Virginia,3rd,R+23,,
2012,Wisconsin,1st,R+5,,
2012,Wisconsin,2nd,D+18,,
2012,Wisconsin,3rd,0,,
2012,Wisconsin,4th,D+25,,
2012,Wisconsin,5th,R+13,,
2012,Wisconsin,6th,R+8,,
2012,Wisconsin,7th,R+8,,
2012,Wisconsin,8th,R+7,,
2012,Wyoming,0,R+25,,
2014,Alabama,1st,R+15,,
2014,Alabama,2nd,R+16,,
2014,Alabama,3rd,R+16,,
2014,Alabama,4th,R+30,,
2014,Alabama,5th,R+18,,
2014,Alabama,6th,R+26,,
2014,Alabama,7th,D+20,,
2014,Alaska,0,R+9,,
2014,Arizona,1st,R+2,,
2014,Arizona,2nd,R+1,,
2014,Arizona,3rd,D+13,,
2014,Arizona,4th,R+21,,
2014,Arizona,5th,R+15,,
2014,Arizona,6th,R+9,,
2014,Arizona,7th,D+23,,
2014,Arizona,8th,R+13,,
2014,Arizona,9th,D+4,,
2014,Arkansas,1st,R+17,,
2014,Arkansas,2nd,R+7,,
2014,Arkansas,3rd,R+19,,
2014,Arkansas,4th,R+17,,
2014,California,1st,R+11,,
2014,California,2nd,D+22,,
2014,California,3rd,D+5,,
2014,California,4th,R+10,,
2014,California,5th,D+21,,
2014,California,6th,D+21,,
2014,California,7th,D+3,,
2014,California,8th,R+9,,
2014,California,9th,D+8,,
2014,California,10th,0,,
2014,California,11th,D+21,,
2014,California,12th,D+37,,
2014,California,13th,D+40,,
2014,California,14th,D+27,,
2014,California,15th,D+20,,
2014,California,16th,D+9,,
2014,California,17th,D+25,,
2014,California,18th,D+23,,
2014,California,19th,D+24,,
2014,California,20th,D+23,,
2014,California,21st,D+5,,
2014,California,22nd,R+8,,
2014,California,23rd,R+14,,
2014,California,24th,D+7,,
2014,California,25th,0,,
2014,California,26th,D+7,,
2014,California,27th,D+16,,
2014,California,28th,D+23,,
2014,California,29th,D+29,,
2014,California,30th,D+18,,
2014,California,31st,D+8,,
2014,California,32nd,D+17,,
2014,California,33rd,D+16,,
2014,California,34th,D+35,,
2014,California,35th,D+19,,
2014,California,36th,D+2,,
2014,California,37th,D+37,,
2014,California,38th,D+17,,
2014,California,39th,0,,
2014,California,40th,D+33,,
2014,California,41st,D+12,,
2014,California,42nd,R+9,,
2014,California,43rd,D+29,,
2014,California,44th,D+35,,
2014,California,45th,R+3,,
2014,California,46th,D+15,,
2014,California,47th,D+13,,
2014,California,48th,R+4,,
2014,California,49th,R+1,,
2014,California,50th,R+11,,
2014,California,51st,D+22,,
2014,California,52nd,D+6,,
2014,California,53rd,D+14,,
2014,Colorado,1st,D+21,,
2014,Colorado,2nd,D+9,,
2014,Colorado,3rd,R+6,,
2014,Colorado,4th,R+13,,
2014,Colorado,5th,R+14,,
2014,Colorado,6th,D+2,,
2014,Colorado,7th,D+6,,
2014,Connecticut,1st,D+12,,
2014,Connecticut,2nd,D+3,,
2014,Connecticut,3rd,D+9,,
2014,Connecticut,4th,D+7,,
2014,Connecticut,5th,D+2,,
2014,Delaware,0,D+6,,
2014,Florida,1st,R+22,,
2014,Florida,2nd,R+18,,
2014,Florida,3rd,R+9,,
2014,Florida,4th,R+17,,
2014,Florida,5th,D+12,,
2014,Florida,6th,R+7,,
2014,Florida,7th,0,,
2014,Florida,8th,R+11,,
2014,Florida,9th,D+5,,
2014,Florida,10th,D+11,,
2014,Florida,11th,R+15,,
2014,Florida,12th,R+8,,
2014,Florida,13th,D+2,,
2014,Florida,14th,D+7,,
2014,Florida,15th,R+6,,
2014,Florida,16th,R+7,,
2014,Florida,17th,R+13,,
2014,Florida,18th,R+5,,
2014,Florida,19th,R+13,,
2014,Florida,20th,D+31,,
2014,Florida,21st,D+9,,
2014,Florida,22nd,D+6,,
2014,Florida,23rd,D+11,,
2014,Florida,24th,D+34,,
2014,Florida,25th,R+4,,
2014,Florida,26th,D+6,,
2014,Florida,27th,D+5,,
2014,Georgia,1st,R+9,,
2014,Georgia,2nd,D+6,,
2014,Georgia,3rd,R+18,,
2014,Georgia,4th,D+24,,
2014,Georgia,5th,D+34,,
2014,Georgia,6th,R+8,,
2014,Georgia,7th,R+9,,
2014,Georgia,8th,R+15,,
2014,Georgia,9th,R+31,,
2014,Georgia,10th,R+15,,
2014,Georgia,11th,R+17,,
2014,Georgia,12th,R+9,,
2014,Georgia,13th,D+20,,
2014,Georgia,14th,R+27,,
2014,Hawaii,1st,D+17,,
2014,Hawaii,2nd,D+19,,
2014,Idaho,1st,R+21,,
2014,Idaho,2nd,R+17,,
2014,Illinois,1st,D+27,,
2014,Illinois,2nd,D+29,,
2014,Illinois,3rd,D+6,,
2014,Illinois,4th,D+33,,
2014,Illinois,5th,D+20,,
2014,Illinois,6th,R+2,,
2014,Illinois,7th,D+38,,
2014,Illinois,8th,D+8,,
2014,Illinois,9th,D+18,,
2014,Illinois,10th,D+10,,
2014,Illinois,11th,D+9,,
2014,Illinois,12th,R+5,,
2014,Illinois,13th,R+3,,
2014,Illinois,14th,R+5,,
2014,Illinois,15th,R+21,,
2014,Illinois,16th,R+8,,
2014,Illinois,17th,D+3,,
2014,Illinois,18th,R+15,,
2014,Indiana,1st,D+8,,
2014,Indiana,2nd,R+11,,
2014,Indiana,3rd,R+18,,
2014,Indiana,4th,R+17,,
2014,Indiana,5th,R+9,,
2014,Indiana,6th,R+18,,
2014,Indiana,7th,D+11,,
2014,Indiana,8th,R+15,,
2014,Indiana,9th,R+13,,
2014,Iowa,1st,D+1,,
2014,Iowa,2nd,D+1,,
2014,Iowa,3rd,R+1,,
2014,Iowa,4th,R+11,,
2014,Kansas,1st,R+24,,
2014,Kansas,2nd,R+10,,
2014,Kansas,3rd,R+4,,
2014,Kansas,4th,R+15,,
2014,Kentucky,1st,R+23,,
2014,Kentucky,2nd,R+19,,
2014,Kentucky,3rd,D+6,,
2014,Kentucky,4th,R+18,,
2014,Kentucky,5th,R+31,,
2014,Kentucky,6th,R+9,,
2014,Louisiana,1st,R+24,,
2014,Louisiana,2nd,D+25,,
2014,Louisiana,3rd,R+20,,
2014,Louisiana,4th,R+13,,
2014,Louisiana,5th,R+15,,
2014,Louisiana,6th,R+19,,
2014,Maine,1st,D+8,,
2014,Maine,2nd,R+2,,
2014,Maryland,1st,R+14,,
2014,Maryland,2nd,D+11,,
2014,Maryland,3rd,D+13,,
2014,Maryland,4th,D+28,,
2014,Maryland,5th,D+16,,
2014,Maryland,6th,D+6,,
2014,Maryland,7th,D+26,,
2014,Maryland,8th,D+14,,
2014,Massachusetts,1st,D+12,,
2014,Massachusetts,2nd,D+9,,
2014,Massachusetts,3rd,D+9,,
2014,Massachusetts,4th,D+9,,
2014,Massachusetts,5th,D+18,,
2014,Massachusetts,6th,D+6,,
2014,Massachusetts,7th,D+34,,
2014,Massachusetts,8th,D+10,,
2014,Massachusetts,9th,D+4,,
2014,Michigan,1st,R+9,,
2014,Michigan,2nd,R+9,,
2014,Michigan,3rd,R+6,,
2014,Michigan,4th,R+10,,
2014,Michigan,5th,D+5,,
2014,Michigan,6th,R+4,,
2014,Michigan,7th,R+7,,
2014,Michigan,8th,R+4,,
2014,Michigan,9th,D+4,,
2014,Michigan,10th,R+13,,
2014,Michigan,11th,R+4,,
2014,Michigan,12th,D+14,,
2014,Michigan,13th,D+33,,
2014,Michigan,14th,D+30,,
2014,Minnesota,1st,R+5,,
2014,Minnesota,2nd,R+2,,
2014,Minnesota,3rd,D+1,,
2014,Minnesota,4th,D+14,,
2014,Minnesota,5th,D+26,,
2014,Minnesota,6th,R+12,,
2014,Minnesota,7th,R+12,,
2014,Minnesota,8th,R+4,,
2014,Mississippi,1st,R+16,,
2014,Mississippi,2nd,D+14,,
2014,Mississippi,3rd,R+13,,
2014,Mississippi,4th,R+21,,
2014,Missouri,1st,D+29,,
2014,Missouri,2nd,R+8,,
2014,Missouri,3rd,R+18,,
2014,Missouri,4th,R+17,,
2014,Missouri,5th,D+7,,
2014,Missouri,6th,R+16,,
2014,Missouri,7th,R+23,,
2014,Missouri,8th,R+24,,
2014,Montana,0,R+11,,
2014,Nebraska,1st,R+11,,
2014,Nebraska,2nd,R+4,,
2014,Nebraska,3rd,R+27,,
2014,Nevada,1st,D+15,,
2014,Nevada,2nd,R+7,,
2014,Nevada,3rd,R+2,,
2014,Nevada,4th,D+3,,
2014,New Hampshire,1st,R+2,,
2014,New Hampshire,2nd,D+2,,
2014,New Jersey,1st,D+13,,
2014,New Jersey,2nd,R+1,,
2014,New Jersey,3rd,R+2,,
2014,New Jersey,4th,R+8,,
2014,New Jersey,5th,R+3,,
2014,New Jersey,6th,D+9,,
2014,New Jersey,7th,R+3,,
2014,New Jersey,8th,D+27,,
2014,New Jersey,9th,D+16,,
2014,New Jersey,10th,D+36,,
2014,New Jersey,11th,R+3,,
2014,New Jersey,12th,D+16,,
2014,New Mexico,1st,D+7,,
2014,New Mexico,2nd,R+6,,
2014,New Mexico,3rd,D+8,,
2014,New York,1st,R+5,,
2014,New York,2nd,R+3,,
2014,New York,3rd,D+1,,
2014,New York,4th,D+4,,
2014,New York,5th,D+37,,
2014,New York,6th,D+16,,
2014,New York,7th,D+38,,
2014,New York,8th,D+36,,
2014,New York,9th,D+34,,
2014,New York,10th,D+26,,
2014,New York,11th,R+3,,
2014,New York,12th,D+31,,
2014,New York,13th,D+43,,
2014,New York,14th,D+29,,
2014,New York,15th,D+44,,
2014,New York,16th,D+24,,
2014,New York,17th,D+7,,
2014,New York,18th,R+1,,
2014,New York,19th,R+2,,
2014,New York,20th,D+7,,
2014,New York,21st,R+4,,
2014,New York,22nd,R+6,,
2014,New York,23rd,R+6,,
2014,New York,24th,D+3,,
2014,New York,25th,D+8,,
2014,New York,26th,D+11,,
2014,New York,27th,R+11,,
2014,North Carolina,1st,D+17,,
2014,North Carolina,2nd,R+7,,
2014,North Carolina,3rd,R+12,,
2014,North Carolina,4th,D+17,,
2014,North Carolina,5th,R+10,,
2014,North Carolina,6th,R+9,,
2014,North Carolina,7th,R+9,,
2014,North Carolina,8th,R+8,,
2014,North Carolina,9th,R+8,,
2014,North Carolina,10th,R+12,,
2014,North Carolina,11th,R+14,,
2014,North Carolina,12th,D+18,,
2014,North Carolina,13th,R+6,,
2014,North Dakota,0,R+16,,
2014,Ohio,1st,R+5,,
2014,Ohio,2nd,R+9,,
2014,Ohio,3rd,D+19,,
2014,Ohio,4th,R+14,,
2014,Ohio,5th,R+11,,
2014,Ohio,6th,R+16,,
2014,Ohio,7th,R+12,,
2014,Ohio,8th,R+17,,
2014,Ohio,9th,D+14,,
2014,Ohio,10th,R+4,,
2014,Ohio,11th,D+32,,
2014,Ohio,12th,R+7,,
2014,Ohio,13th,D+7,,
2014,Ohio,14th,R+5,,
2014,Ohio,15th,R+7,,
2014,Ohio,16th,R+8,,
2014,Oklahoma,1st,R+17,,
2014,Oklahoma,2nd,R+24,,
2014,Oklahoma,3rd,R+27,,
2014,Oklahoma,4th,R+20,,
2014,Oklahoma,5th,R+10,,
2014,Oregon,1st,D+9,,
2014,Oregon,2nd,R+11,,
2014,Oregon,3rd,D+24,,
2014,Oregon,4th,0,,
2014,Oregon,5th,0,,
2014,Pennsylvania,1st,D+31,,
2014,Pennsylvania,2nd,D+40,,
2014,Pennsylvania,3rd,R+11,,
2014,Pennsylvania,4th,R+11,,
2014,Pennsylvania,5th,R+14,,
2014,Pennsylvania,6th,R+2,,
2014,Pennsylvania,7th,R+1,,
2014,Pennsylvania,8th,R+2,,
2014,Pennsylvania,9th,R+19,,
2014,Pennsylvania,10th,R+16,,
2014,Pennsylvania,11th,R+10,,
2014,Pennsylvania,12th,R+11,,
2014,Pennsylvania,13th,D+15,,
2014,Pennsylvania,14th,D+17,,
2014,Pennsylvania,15th,R+4,,
2014,Pennsylvania,16th,R+5,,
2014,Pennsylvania,17th,R+1,,
2014,Pennsylvania,18th,R+11,,
2014,Rhode Island,1st,D+14,,
2014,Rhode Island,2nd,D+6,,
2014,South Carolina,1st,R+10,,
2014,South Carolina,2nd,R+12,,
2014,South Carolina,3rd,R+19,,
2014,South Carolina,4th,R+15,,
2014,South Carolina,5th,R+9,,
2014,South Carolina,6th,D+19,,
2014,South Carolina,7th,R+9,,
2014,South Dakota,0,R+14,,
2014,Tennessee,1st,R+28,,
2014,Tennessee,2nd,R+20,,
2014,Tennessee,3rd,R+18,,
2014,Tennessee,4th,R+20,,
2014,Tennessee,5th,D+7,,
2014,Tennessee,6th,R+24,,
2014,Tennessee,7th,R+20,,
2014,Tennessee,8th,R+19,,
2014,Tennessee,9th,D+28,,
2014,Texas,1st,R+25,,
2014,Texas,2nd,R+11,,
2014,Texas,3rd,R+13,,
2014,Texas,4th,R+28,,
2014,Texas,5th,R+16,,
2014,Texas,6th,R+9,,
2014,Texas,7th,R+7,,
2014,Texas,8th,R+28,,
2014,Texas,9th,D+29,,
2014,Texas,10th,R+9,,
2014,Texas,11th,R+32,,
2014,Texas,12th,R+18,,
2014,Texas,13th,R+33,,
2014,Texas,14th,R+12,,
2014,Texas,15th,D+7,,
2014,Texas,16th,D+17,,
2014,Texas,17th,R+12,,
2014,Texas,18th,D+27,,
2014,Texas,19th,R+27,,
2014,Texas,20th,D+10,,
2014,Texas,21st,R+10,,
2014,Texas,22nd,R+10,,
2014,Texas,23rd,R+1,,
2014,Texas,24th,R+9,,
2014,Texas,25th,R+11,,
2014,Texas,26th,R+18,,
2014,Texas,27th,R+13,,
2014,Texas,28th,D+9,,
2014,Texas,29th,D+19,,
2014,Texas,30th,D+29,,
2014,Texas,31st,R+10,,
2014,Texas,32nd,R+5,,
2014,Texas,33rd,D+23,,
2014,Texas,34th,D+10,,
2014,Texas,35th,D+15,,
2014,Texas,36th,R+26,,
2014,Utah,1st,R+26,,
2014,Utah,2nd,R+16,,
2014,Utah,3rd,R+25,,
2014,Utah,4th,R+13,,
2014,Vermont,0,D+15,,
2014,Virginia,1st,R+8,,
2014,Virginia,2nd,R+3,,
2014,Virginia,3rd,D+16,,
2014,Virginia,4th,D+10,,
2014,Virginia,5th,R+6,,
2014,Virginia,6th,R+13,,
2014,Virginia,7th,R+6,,
2014,Virginia,8th,D+21,,
2014,Virginia,9th,R+19,,
2014,Virginia,10th,D+1,,
2014,Virginia,11th,D+15,,
2014,Washington,1st,D+6,,
2014,Washington,2nd,D+10,,
2014,Washington,3rd,R+4,,
2014,Washington,4th,R+13,,
2014,Washington,5th,R+8,,
2014,Washington,6th,D+6,,
2014,Washington,7th,D+33,,
2014,Washington,8th,0,,
2014,Washington,9th,D+21,,
2014,Washington,10th,D+5,,
2014,West Virginia,1st,R+19,,
2014,West Virginia,2nd,R+17,,
2014,West Virginia,3rd,R+23,,
2014,Wisconsin,1st,R+5,,
2014,Wisconsin,2nd,D+18,,
2014,Wisconsin,3rd,0,,
2014,Wisconsin,4th,D+25,,
2014,Wisconsin,5th,R+13,,
2014,Wisconsin,6th,R+8,,
2014,Wisconsin,7th,R+8,,
2014,Wisconsin,8th,R+7,,
2014,Wyoming,0,R+25,,
2016,Alabama,1st,R+15,,
2016,Alabama,2nd,R+16,,
2016,Alabama,3rd,R+16,,
2016,Alabama,4th,R+30,,
2016,Alabama,5th,R+18,,
2016,Alabama,6th,R+26,,
2016,Alabama,7th,D+20,,
2016,Alaska,0,R+9,,
2016,Arizona,1st,R+2,,
2016,Arizona,2nd,R+1,,
2016,Arizona,3rd,D+13,,
2016,Arizona,4th,R+21,,
2016,Arizona,5th,R+15,,
2016,Arizona,6th,R+9,,
2016,Arizona,7th,D+23,,
2016,Arizona,8th,R+13,,
2016,Arizona,9th,D+4,,
2016,Arkansas,1st,R+17,,
2016,Arkansas,2nd,R+7,,
2016,Arkansas,3rd,R+19,,
2016,Arkansas,4th,R+17,,
2016,California,1st,R+11,,
2016,California,2nd,D+22,,
2016,California,3rd,D+5,,
2016,California,4th,R+10,,
2016,California,5th,D+21,,
2016,California,6th,D+21,,
2016,California,7th,D+3,,
2016,California,8th,R+9,,
2016,California,9th,D+8,,
2016,California,10th,0,,
2016,California,11th,D+21,,
2016,California,12th,D+37,,
2016,California,13th,D+40,,
2016,California,14th,D+27,,
2016,California,15th,D+20,,
2016,California,16th,D+9,,
2016,California,17th,D+25,,
2016,California,18th,D+23,,
2016,California,19th,D+24,,
2016,California,20th,D+23,,
2016,California,21st,D+5,,
2016,California,22nd,R+8,,
2016,California,23rd,R+14,,
2016,California,24th,D+7,,
2016,California,25th,0,,
2016,California,26th,D+7,,
2016,California,27th,D+16,,
2016,California,28th,D+23,,
2016,California,29th,D+29,,
2016,California,30th,D+18,,
2016,California,31st,D+8,,
2016,California,32nd,D+17,,
2016,California,33rd,D+16,,
2016,California,34th,D+35,,
2016,California,35th,D+19,,
2016,California,36th,D+2,,
2016,California,37th,D+37,,
2016,California,38th,D+17,,
2016,California,39th,0,,
2016,California,40th,D+33,,
2016,California,41st,D+12,,
2016,California,42nd,R+9,,
2016,California,43rd,D+29,,
2016,California,44th,D+35,,
2016,California,45th,R+3,,
2016,California,46th,D+15,,
2016,California,47th,D+13,,
2016,California,48th,R+4,,
2016,California,49th,R+1,,
2016,California,50th,R+11,,
2016,California,51st,D+22,,
2016,California,52nd,D+6,,
2016,California,53rd,D+14,,
2016,Colorado,1st,D+21,,
2016,Colorado,2nd,D+9,,
2016,Colorado,3rd,R+6,,
2016,Colorado,4th,R+13,,
2016,Colorado,5th,R+14,,
2016,Colorado,6th,D+2,,
2016,Colorado,7th,D+6,,
2016,Connecticut,1st,D+12,,
2016,Connecticut,2nd,D+3,,
2016,Connecticut,3rd,D+9,,
2016,Connecticut,4th,D+7,,
2016,Connecticut,5th,D+2,,
2016,Delaware,0,D+6,,
2016,Florida,1st,R+22,,
2016,Florida,2nd,R+18,,
2016,Florida,3rd,R+9,,
2016,Florida,4th,R+17,,
2016,Florida,5th,D+12,,
2016,Florida,6th,R+7,,
2016,Florida,7th,0,,
2016,Florida,8th,R+11,,
2016,Florida,9th,D+5,,
2016,Florida,10th,D+11,,
2016,Florida,11th,R+15,,
2016,Florida,12th,R+8,,
2016,Florida,13th,D+2,,
2016,Florida,14th,D+7,,
2016,Florida,15th,R+6,,
2016,Florida,16th,R+7,,
2016,Florida,17th,R+13,,
2016,Florida,18th,R+5,,
2016,Florida,19th,R+13,,
2016,Florida,20th,D+31,,
2016,Florida,21st,D+9,,
2016,Florida,22nd,D+6,,
2016,Florida,23rd,D+11,,
2016,Florida,24th,D+34,,
2016,Florida,25th,R+4,,
2016,Florida,26th,D+6,,
2016,Florida,27th,D+5,,
2016,Georgia,1st,R+9,,
2016,Georgia,2nd,D+6,,
2016,Georgia,3rd,R+18,,
2016,Georgia,4th,D+24,,
2016,Georgia,5th,D+34,,
2016,Georgia,6th,R+8,,
2016,Georgia,7th,R+9,,
2016,Georgia,8th,R+15,,
2016,Georgia,9th,R+31,,
2016,Georgia,10th,R+15,,
2016,Georgia,11th,R+17,,
2016,Georgia,12th,R+9,,
2016,Georgia,13th,D+20,,
2016,Georgia,14th,R+27,,
2016,Hawaii,1st,D+17,,
2016,Hawaii,2nd,D+19,,
2016,Idaho,1st,R+21,,
2016,Idaho,2nd,R+17,,
2016,Illinois,1st,D+27,,
2016,Illinois,2nd,D+29,,
2016,Illinois,3rd,D+6,,
2016,Illinois,4th,D+33,,
2016,Illinois,5th,D+20,,
2016,Illinois,6th,R+2,,
2016,Illinois,7th,D+38,,
2016,Illinois,8th,D+8,,
2016,Illinois,9th,D+18,,
2016,Illinois,10th,D+10,,
2016,Illinois,11th,D+9,,
2016,Illinois,12th,R+5,,
2016,Illinois,13th,R+3,,
2016,Illinois,14th,R+5,,
2016,Illinois,15th,R+21,,
2016,Illinois,16th,R+8,,
2016,Illinois,17th,D+3,,
2016,Illinois,18th,R+15,,
2016,Indiana,1st,D+8,,
2016,Indiana,2nd,R+11,,
2016,Indiana,3rd,R+18,,
2016,Indiana,4th,R+17,,
2016,Indiana,5th,R+9,,
2016,Indiana,6th,R+18,,
2016,Indiana,7th,D+11,,
2016,Indiana,8th,R+15,,
2016,Indiana,9th,R+13,,
2016,Iowa,1st,D+1,,
2016,Iowa,2nd,D+1,,
2016,Iowa,3rd,R+1,,
2016,Iowa,4th,R+11,,
2016,Kansas,1st,R+24,,
2016,Kansas,2nd,R+10,,
2016,Kansas,3rd,R+4,,
2016,Kansas,4th,R+15,,
2016,Kentucky,1st,R+23,,
2016,Kentucky,2nd,R+19,,
2016,Kentucky,3rd,D+6,,
2016,Kentucky,4th,R+18,,
2016,Kentucky,5th,R+31,,
2016,Kentucky,6th,R+9,,
2016,Louisiana,1st,R+24,,
2016,Louisiana,2nd,D+25,,
2016,Louisiana,3rd,R+20,,
2016,Louisiana,4th,R+13,,
2016,Louisiana,5th,R+15,,
2016,Louisiana,6th,R+19,,
2016,Maine,1st,D+8,,
2016,Maine,2nd,R+2,,
2016,Maryland,1st,R+14,,
2016,Maryland,2nd,D+11,,
2016,Maryland,3rd,D+13,,
2016,Maryland,4th,D+28,,
2016,Maryland,5th,D+16,,
2016,Maryland,6th,D+6,,
2016,Maryland,7th,D+26,,
2016,Maryland,8th,D+14,,
2016,Massachusetts,1st,D+12,,
2016,Massachusetts,2nd,D+9,,
2016,Massachusetts,3rd,D+9,,
2016,Massachusetts,4th,D+9,,
2016,Massachusetts,5th,D+18,,
2016,Massachusetts,6th,D+6,,
2016,Massachusetts,7th,D+34,,
2016,Massachusetts,8th,D+10,,
2016,Massachusetts,9th,D+4,,
2016,Michigan,1st,R+9,,
2016,Michigan,2nd,R+9,,
2016,Michigan,3rd,R+6,,
2016,Michigan,4th,R+10,,
2016,Michigan,5th,D+5,,
2016,Michigan,6th,R+4,,
2016,Michigan,7th,R+7,,
2016,Michigan,8th,R+4,,
2016,Michigan,9th,D+4,,
2016,Michigan,10th,R+13,,
2016,Michigan,11th,R+4,,
2016,Michigan,12th,D+14,,
2016,Michigan,13th,D+33,,
2016,Michigan,14th,D+30,,
2016,Minnesota,1st,R+5,,
2016,Minnesota,2nd,R+2,,
2016,Minnesota,3rd,D+1,,
2016,Minnesota,4th,D+14,,
2016,Minnesota,5th,D+26,,
2016,Minnesota,6th,R+12,,
2016,Minnesota,7th,R+12,,
2016,Minnesota,8th,R+4,,
2016,Mississippi,1st,R+16,,
2016,Mississippi,2nd,D+14,,
2016,Mississippi,3rd,R+13,,
2016,Mississippi,4th,R+21,,
2016,Missouri,1st,D+29,,
2016,Missouri,2nd,R+8,,
2016,Missouri,3rd,R+18,,
2016,Missouri,4th,R+17,,
2016,Missouri,5th,D+7,,
2016,Missouri,6th,R+16,,
2016,Missouri,7th,R+23,,
2016,Missouri,8th,R+24,,
2016,Montana,0,R+11,,
2016,Nebraska,1st,R+11,,
2016,Nebraska,2nd,R+4,,
2016,Nebraska,3rd,R+27,,
2016,Nevada,1st,D+15,,
2016,Nevada,2nd,R+7,,
2016,Nevada,3rd,R+2,,
2016,Nevada,4th,D+3,,
2016,New Hampshire,1st,R+2,,
2016,New Hampshire,2nd,D+2,,
2016,New Jersey,1st,D+13,,
2016,New Jersey,2nd,R+1,,
2016,New Jersey,3rd,R+2,,
2016,New Jersey,4th,R+8,,
2016,New Jersey,5th,R+3,,
2016,New Jersey,6th,D+9,,
2016,New Jersey,7th,R+3,,
2016,New Jersey,8th,D+27,,
2016,New Jersey,9th,D+16,,
2016,New Jersey,10th,D+36,,
2016,New Jersey,11th,R+3,,
2016,New Jersey,12th,D+16,,
2016,New Mexico,1st,D+7,,
2016,New Mexico,2nd,R+6,,
2016,New Mexico,3rd,D+8,,
2016,New York,1st,R+5,,
2016,New York,2nd,R+3,,
2016,New York,3rd,D+1,,
2016,New York,4th,D+4,,
2016,New York,5th,D+37,,
2016,New York,6th,D+16,,
2016,New York,7th,D+38,,
2016,New York,8th,D+36,,
2016,New York,9th,D+34,,
2016,New York,10th,D+26,,
2016,New York,11th,R+3,,
2016,New York,12th,D+31,,
